SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,-1,5,69,10,1.5767,0,0,1,False,True,14.0,0.24,21.0,0.7622,0.7,0.0,3.1,3.4
0,-1,7,91,9,5.1129,0,0,1,False,True,13.0,0.26,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,20,271,72,14.55,0,0,1,False,True,14.0,0.13,28.0,0.7622,0.7,0.0,3.1,3.4
1,-1,6,101,17,12.0,0,0,1,False,False,17.0,0.2,20.0,0.7622,0.7,0.0,3.1,3.4
1,1,21,298,72,11.81,0,0,1,False,False,14.0,0.17,26.0,0.5856,15.7,3.3,3.1,3.4
0,-1,6,111,23,11.231,0,0,1,True,True,18.0,0.06,19.0,0.7622,0.7,0.0,3.1,3.4
0,1,19,289,72,13.34,0,0,1,False,True,15.0,0.17,24.0,0.6893,4.0,0.5,3.1,3.4
1,1,22,287,72,14.45,0,0,1,False,True,13.0,0.15,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,23,330,74,15.685,0,0,1,True,True,14.0,0.1,30.0,0.7622,0.7,0.0,3.1,3.4
0,1,16,256,73,12.975,0,0,1,False,True,16.0,0.09,23.0,0.7622,0.7,0.0,3.1,3.4
1,1,22,294,73,11.9,0,0,1,False,True,13.0,0.08,25.0,0.7622,0.7,0.0,3.1,3.4
1,1,19,280,72,15.4,0,0,1,False,True,15.0,0.12,27.0,0.7622,0.7,0.0,3.1,3.4
0,1,14,222,72,16.17,0,0,1,False,True,16.0,0.06,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,1,7,2,13.5157,0,0,1,False,True,7.0,0.06,29.0,0.7622,0.7,0.0,3.1,3.4
